"2285002006","104GROC","NONHAPVOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002006","104GROC","VOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002006","112CROC","PM2_5",,,,,,,,,,,"! Profile updated for 2021hb to new ROC-based profile for heavy duty diesel exhaust"
"2285002007","104GROC","NONHAPVOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002007","104GROC","VOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002007","112CROC","PM2_5",,,,,,,,,,,"! Profile updated for 2021hb to new ROC-based profile for heavy duty diesel exhaust"
"2285002008","104GROC","NONHAPVOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002008","104GROC","VOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002008","112CROC","PM2_5",,,,,,,,,,,"! Profile updated for 2021hb to new ROC-based profile for heavy duty diesel exhaust"
"2285002009","104GROC","NONHAPVOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002009","104GROC","VOC",,,,,,,,,,,"! Updated for 2021hb to ROC-based mobile profile for heavy duty diesel exhaust"
"2285002009","112CROC","PM2_5",,,,,,,,,,,"! Profile updated for 2021hb to new ROC-based profile for heavy duty diesel exhaust"
"2401001000","95816","NONHAPVOC",,,,,,,,,,,"! Solvents profile change for 2019 platform (K. Seltzer recommendation). Profile name: Volatile Chemical Products - Architectural Coatings - 2014 Representation"
"2401001000","95816","VOC",,,,,,,,,,,"! Solvents profile change for 2019 platform (K. Seltzer recommendation). Profile name: Volatile Chemical Products - Architectural Coatings - 2014 Representation"
"2401001000","91147","PM2_5",,,,,,,,,,,"! Profile name: Overall Average/Default - Simplified  Assignment basis: EPA recommendation from Pechan 5jun2006 x-walk "
"2401005000","2402","NONHAPVOC",,,,,,,,,,,"! Profile name: Auto Refinishing Assignment basis: Pechan x-walk "
"2401005000","2402","VOC",,,,,,,,,,,"! Profile name: Auto Refinishing Assignment basis: Pechan x-walk "
"2401005000","91147","PM2_5",,,,,,,,,,,"! Profile name: Overall Average/Default - Simplified  Assignment basis: EPA recommendation from Pechan 5jun2006 x-walk "
"2401005700","2402","NONHAPVOC",,,,,,,,,,,"! Profile name: Auto Refinishing "
"2401005700","2402","VOC",,,,,,,,,,,"! Profile name: Auto Refinishing Assignment basis: Set to similar as Pechan "
"2401005700","91147","PM2_5",,,,,,,,,,,"! Added for 2002ac nonpt - zero emissions (C. Allen)  "
"2401005800","2402","NONHAPVOC",,,,,,,,,,,"! Profile name: Auto Refinishing "
"2401005800","2402","VOC",,,,,,,,,,,"! Profile name: Auto Refinishing Assignment basis: Set to similar as Pechan "
"2401005800","91147","PM2_5",,,,,,,,,,,"! Added for 2002ac nonpt - zero emissions (C. Allen)  "
"2401008000","3135","NONHAPVOC",,,,,,,,,,,"! Profile name: Aerosol Coatings: Ground/Traffic/Marking Coatings Assignment basis: Pechan x-walk "
"2401008000","3135","VOC",,,,,,,,,,,"! Profile name: Aerosol Coatings: Ground/Traffic/Marking Coatings Assignment basis: Pechan x-walk "
"2401008000","91147","PM2_5",,,,,,,,,,,"! Added for 2002ac othar - zero emissions (C. Allen)  "
"2401010000","3137","NONHAPVOC",,,,,,,,,,,"! Updated for 2016 platform. Profile name: Aerosol Coatings: Vinyl/Fabric/Leather/Polycarb Coatings"
"2401010000","3137","VOC",,,,,,,,,,,"! Updated for 2016 platform. Profile name: Aerosol Coatings: Vinyl/Fabric/Leather/Polycarb Coatings"
"2401010000","91147","PM2_5",,,,,,,,,,,"! Profile name: Overall Average/Default - Simplified  Assignment basis: EPA set to overall average - no better profile "
"2401015000","2405","NONHAPVOC",,,,,,,,,,,"! Profile name: Wood Furniture Coating Assignment basis: Set to 1999 wood furniture coating profile "
"2401015000","2405","VOC",,,,,,,,,,,"! Profile name: Wood Furniture Coating Assignment basis: Set to 1999 wood furniture coating profile "
"2401015000","91147","PM2_5",,,,,,,,,,,"! Added for 2002ac nonpt - zero emissions (C. Allen)  "
"2401020000","2405","NONHAPVOC",,,,,,,,,,,"! Profile name: Wood Furniture Coating Assignment basis: Set to 1999 wood furniture coating profile "
"2401020000","2405","VOC",,,,,,,,,,,"! Profile name: Wood Furniture Coating Assignment basis: Set to 1999 wood furniture coating profile "
"2401020000","91147","PM2_5",,,,,,,,,,,"! Profile name: Overall Average/Default - Simplified  Assignment basis: EPA recommendation from Pechan 5jun2006 x-walk "
"2401025000","2406","NONHAPVOC",,,,,,,,,,,"! Profile name: Metal Furniture Coating Assignment basis: Set to 1999 metal furniture profile "
"2401025000","2406","VOC",,,,,,,,,,,"! Profile name: Metal Furniture Coating Assignment basis: Set to 1999 metal furniture profile "
"2401025000","91147","PM2_5",,,,,,,,,,,"! Added for 2002ac nonpt - zero emissions (C. Allen)  "
"2401030000","2552","NONHAPVOC",,,,,,,,,,,"! Profile name: Offset Printing - Plant B  Average of all rooms Assignment basis: Set to 1999 printing composite "
"2401030000","2552","VOC",,,,,,,,,,,"! Profile name: Offset Printing - Plant B  Average of all rooms Assignment basis: Set to 1999 printing composite "
"2401030000","91147","PM2_5",,,,,,,,,,,"! Profile name: Overall Average/Default - Simplified  Assignment basis: EPA recommendation from Pechan 5jun2006 x-walk "
"2401035000","3137","NONHAPVOC",,,,,,,,,,,"! Profile name: Aerosol Coatings: Vinyl/Fabric/Leather/Polycarb Coatings "
"2401035000","3137","VOC",,,,,,,,,,,"! Profile name: Aerosol Coatings: Vinyl/Fabric/Leather/Polycarb Coatings Assignment basis: Set to apparent most appropriate pr "
"2401035000","91147","PM2_5",,,,,,,,,,,"! Added for 2002ac nonpt - zero emissions (C. Allen)  "
